date,PM10_MIN,PM10_MAX,PM10_AVG
2011-12-06,17.0,54.0,35.3
2011-12-07,43.0,86.0,63.6
2011-12-08,13.0,102.0,56.7
2011-12-09,0.0,73.0,33.4
2011-12-10,0.0,47.0,26.1
2011-12-11,0.0,64.0,36.5
2011-12-12,0.0,88.0,43.4
2011-12-13,7.0,103.0,44.7
2011-12-14,0.0,94.0,65.3
2011-12-15,8.0,54.0,23.9
2011-12-16,14.0,57.0,32.6
2011-12-17,17.0,54.0,32.0
2011-12-18,15.0,49.0,35.1
2011-12-19,19.0,55.0,32.1
2011-12-20,18.0,58.0,40.7
2011-12-21,22.0,77.0,49.8
2011-12-22,19.0,78.0,41.4
2011-12-23,11.0,50.0,28.4
2011-12-24,4.0,55.0,27.1
2011-12-25,6.0,35.0,21.3
2011-12-26,0.0,53.0,24.9
2011-12-27,11.0,75.0,45.4
2011-12-28,40.0,94.0,64.3
2011-12-30,0.0,126.0,82.3
2012-01-01,38.0,96.0,73.1
2012-01-02,63.0,111.0,88.5
2012-01-03,55.0,107.0,85.9
2012-01-04,36.0,87.0,62.2
2012-01-05,15.0,62.0,42.7
2014-03-08,27.0,75.0,44.7
2014-03-09,8.0,73.0,39.8
2014-03-10,20.0,66.0,42.0
2014-03-11,27.0,96.0,52.1
2014-03-12,16.0,71.0,39.8
2014-03-13,9.0,106.0,44.6
2014-03-14,29.0,100.0,62.8
2014-03-17,9.0,112.0,62.9
2014-03-20,13.0,157.0,70.7
2014-03-21,11.0,51.0,33.2
2014-03-22,42.0,90.0,60.0
2014-03-23,58.0,108.0,83.1
2014-03-24,14.0,97.0,53.9
2014-03-25,35.0,81.0,57.7
2014-03-26,38.0,90.0,67.3
2014-03-29,6.0,92.0,51.3
2014-03-30,17.0,78.0,39.1
2014-03-31,34.0,109.0,69.5
2014-04-01,41.0,114.0,76.9
2014-04-02,42.0,106.0,66.0
2014-04-03,0.0,79.0,57.4
2014-04-04,11.0,44.0,29.0
2014-04-05,24.0,78.0,44.6
2014-04-06,12.0,92.0,43.6
2014-04-07,31.0,101.0,69.7
2014-04-08,30.0,95.0,51.3
2014-04-09,33.0,109.0,68.5
2014-04-10,23.0,99.0,62.7
2014-04-11,40.0,94.0,69.1
2014-04-12,43.0,103.0,76.4
2014-04-13,59.0,114.0,74.7
2014-04-14,46.0,100.0,71.0
2014-04-15,37.0,132.0,79.0
2014-04-18,31.0,93.0,63.9
2014-04-19,18.0,97.0,46.7
2014-04-20,21.0,72.0,41.5
2014-04-21,30.0,85.0,56.3
2014-04-22,29.0,91.0,59.7
2014-04-25,23.0,118.0,67.3
2014-04-26,17.0,97.0,53.7
2014-04-27,9.0,56.0,26.2
2014-04-28,0.0,27.0,12.1
2014-04-29,0.0,99.0,15.8
2014-04-30,5.0,59.0,28.0
2014-05-01,37.0,71.0,55.6
2014-05-02,43.0,150.0,82.3
2014-05-03,10.0,52.0,30.2
2014-05-04,20.0,153.0,45.0
2014-05-05,16.0,62.0,41.4
2014-05-06,23.0,66.0,45.0
2014-05-07,20.0,81.0,49.2
2014-05-08,11.0,58.0,34.2
2014-05-09,28.0,78.0,47.5
2014-05-10,15.0,63.0,40.6
2014-05-11,16.0,62.0,33.5
2014-05-12,3.0,93.0,42.4
2014-05-14,38.0,134.0,80.1
2014-05-15,32.0,76.0,52.9
2014-05-16,18.0,86.0,56.2
2014-05-17,23.0,93.0,60.3
2014-05-18,29.0,75.0,52.7
2014-05-19,40.0,91.0,61.3
2014-05-20,46.0,102.0,74.9
2014-05-21,30.0,91.0,59.8
2014-05-22,25.0,98.0,52.8
2014-05-23,29.0,132.0,73.4
2014-05-24,46.0,106.0,67.6
2014-05-25,0.0,90.0,48.6
2014-05-26,0.0,160.5,88.8
2014-05-30,53.0,132.0,78.9
2014-06-02,29.0,118.0,85.0
2014-06-03,5.0,81.0,25.6
2014-06-04,1.0,47.0,20.8
2014-06-05,0.0,31.0,18.4
2014-06-06,10.0,57.0,28.2
2014-06-07,12.0,68.0,36.8
2014-06-08,10.0,46.0,32.4
2014-06-09,22.0,74.0,41.7
2014-06-10,9.0,69.0,35.3
2014-06-11,2.0,45.0,21.4
2014-06-12,6.0,58.0,28.1
2014-06-13,30.0,83.0,52.8
2014-06-14,26.0,68.0,41.2
2014-06-15,22.0,61.0,42.3
2014-06-16,21.0,56.0,39.4
2014-06-17,36.0,137.0,77.3
2014-06-18,9.0,129.0,60.2
2014-06-19,26.0,113.0,49.9
2014-06-20,26.0,70.0,51.8
2014-06-21,0.0,57.0,22.8
2014-06-22,0.0,37.0,22.1
2014-06-23,2.0,58.0,34.4
2014-06-24,11.0,67.0,36.9
2014-06-25,31.0,85.0,51.8
2014-06-26,26.0,68.0,45.3
2014-06-27,12.0,61.0,34.5
2014-06-28,25.0,53.0,38.0
2014-06-29,12.0,49.0,33.2
2014-06-30,7.0,59.0,37.0
2014-07-01,21.0,74.0,43.8
2014-07-02,1.0,160.5,77.6
2014-07-03,1.0,43.0,22.0
2014-07-04,0.0,44.0,18.1
2014-07-05,12.0,61.0,32.2
2014-07-06,5.0,54.0,26.4
2014-07-07,11.0,88.0,37.5
2014-07-08,12.0,50.0,29.3
2014-07-09,0.0,41.0,21.6
2014-07-10,0.0,80.0,33.9
2014-07-11,23.0,97.0,62.8
2014-07-12,36.0,148.0,77.3
2014-07-13,37.0,87.0,55.9
2014-07-14,59.0,117.0,81.0
2014-07-16,14.0,121.0,51.4
2014-07-17,0.0,38.0,22.1
2014-07-18,0.0,33.0,16.0
2014-07-19,24.0,85.0,46.0
2014-07-20,32.0,118.0,58.1
2014-07-21,5.0,77.0,51.7
2014-07-22,5.0,34.0,19.4
2014-07-23,0.0,36.0,19.0
2014-07-24,0.0,28.0,11.8
2014-07-25,0.0,45.0,16.6
2014-07-26,0.0,95.0,36.0
2014-07-27,31.0,107.0,81.4
2014-07-28,28.0,120.0,60.6
2014-07-29,2.0,130.0,40.2
2014-07-30,13.0,53.0,27.5
2014-07-31,0.0,52.0,26.6
2014-08-01,2.0,30.0,16.7
2014-08-02,0.0,27.0,13.7
2014-08-03,0.0,26.0,9.4
2014-08-04,0.0,31.0,11.1
2014-08-05,7.0,115.0,50.4
2014-08-06,9.0,110.0,44.0
2014-08-07,23.0,68.0,44.4
2014-08-08,2.0,59.0,22.1
2014-08-09,4.0,39.0,20.2
2014-08-10,0.0,30.0,10.4
2014-08-11,1.0,53.0,26.2
2014-08-12,26.0,116.0,60.6
2014-08-13,18.0,140.0,70.3
2014-08-14,15.0,57.0,29.0
2014-08-15,13.0,108.0,33.1
2014-08-16,19.0,66.0,39.6
2014-08-17,0.0,62.0,31.0
2014-08-18,2.0,26.0,15.8
2014-08-19,0.0,48.0,20.8
2014-08-20,16.0,70.0,35.5
2014-08-21,0.0,75.0,16.8
2014-08-22,11.0,136.0,72.9
2014-08-23,38.0,117.0,79.0
2014-08-24,35.0,74.0,56.3
2014-08-25,28.0,105.0,51.0
2014-08-26,0.0,32.0,11.1
2014-08-27,0.0,24.0,9.5
2014-08-28,2.0,44.0,18.2
2014-08-29,8.0,43.0,26.1
2014-08-30,1.0,50.0,18.9
2014-08-31,9.0,50.0,24.9
2014-09-01,8.0,54.0,31.0
2014-09-02,7.0,41.0,18.9
2014-09-03,0.0,18.0,5.0
2014-09-04,0.0,39.0,16.3
2014-09-05,8.0,43.0,27.3
2014-09-06,16.0,46.0,32.9
2014-09-07,30.0,64.0,45.4
2014-09-08,15.0,74.0,48.7
2014-09-09,5.0,143.0,62.0
2014-09-10,13.0,40.0,26.8
2014-09-11,19.0,48.0,34.7
2014-09-12,22.0,53.0,36.0
2014-09-13,2.0,47.0,20.0
2014-09-14,0.0,35.0,14.9
2014-09-15,22.0,56.0,37.3
2014-09-16,22.0,52.0,34.9
2014-09-17,28.0,67.0,49.1
2014-09-18,5.0,46.0,22.8
2014-09-19,10.0,51.0,29.1
2014-09-20,6.0,61.0,30.9
2014-09-21,15.0,55.0,31.1
2014-09-22,8.0,49.0,26.9
2014-09-23,7.0,39.0,21.9
2014-09-24,0.0,31.0,15.7
2014-09-25,0.0,63.0,22.6
2014-09-26,0.0,63.0,27.2
2014-09-27,14.0,48.0,31.6
2014-09-28,20.0,66.0,41.0
2014-09-29,9.0,68.0,41.9
2014-09-30,0.0,66.0,21.3
2014-10-01,1.0,56.0,24.8
2014-10-02,10.0,50.0,31.5
2014-10-03,4.0,35.0,23.1
2014-10-04,7.0,37.0,19.6
2014-10-05,4.0,32.0,16.8
2014-10-06,0.0,37.0,18.9
2014-10-07,13.0,58.0,32.4
2014-10-08,14.0,79.0,36.1
2014-10-09,21.0,60.0,43.3
2014-10-10,8.0,72.0,40.9
2014-10-11,13.0,44.0,28.2
2014-10-12,12.0,48.0,31.1
2014-10-13,4.0,80.0,24.1
2014-10-14,1.0,50.0,25.1
2014-10-15,13.0,60.0,33.1
2014-10-16,16.0,78.0,38.7
2014-10-17,11.0,70.0,32.8
2014-10-18,16.0,85.0,40.0
2014-10-19,36.0,89.0,55.7
2014-10-20,8.0,78.0,26.6
2014-10-21,0.0,41.0,12.2
2014-10-22,1.0,30.0,15.1
2014-10-23,7.0,71.0,30.9
2014-10-24,22.0,56.0,41.3
2014-10-25,28.0,72.0,48.0
2014-10-26,11.0,57.0,34.7
2014-10-27,22.0,84.0,45.2
2014-10-28,45.0,84.0,60.4
2014-10-29,40.0,83.0,57.6
2014-10-30,37.0,96.0,62.3
2014-10-31,0.0,100.0,45.0
2014-11-01,11.0,81.0,38.2
2014-11-02,18.0,156.0,57.8
2014-11-03,12.0,61.0,39.5
2014-11-04,9.0,53.0,30.1
2014-11-05,4.0,55.0,29.6
2014-11-06,29.0,88.0,55.7
2014-11-07,28.0,95.0,50.1
2014-11-08,42.0,78.0,58.1
2014-11-09,32.0,86.0,57.1
2014-11-10,31.0,79.0,53.5
